,OGF_ID,FIRE_START_DATE,FIRE_GENERAL_CAUSE_CODE,FIRE_FINAL_SIZE,FIRE_YEAR,LONGITUDE,LATITUDE
213,46001916,1999/08/14 00:00:00+00,LTG,500,1999,-82.91656934799208,51.3735283405856
214,46001833,1998/07/05 00:00:00+00,LTG,900,1998,-88.54371017031778,53.73965701327198
215,46001891,1998/07/05 00:00:00+00,LTG,250,1998,-90.74298502617712,53.17935647428888
216,46001837,1998/07/05 00:00:00+00,LTG,700,1998,-88.08079963240512,53.512267480613346
217,46001861,1998/07/07 00:00:00+00,LTG,1180,1998,-93.73389123295495,53.603938015427374
218,46001805,1998/06/11 00:00:00+00,REC,175,1998,-80.36866746577519,50.3059497160137
219,46001806,1998/06/11 00:00:00+00,LTG,1400,1998,-82.9216407600943,51.848379480174565
220,46001966,1999/08/20 00:00:00+00,LTG,150,1999,-90.27460375616903,53.1084471826568
221,46001974,1999/06/09 00:00:00+00,REC,150,1999,-87.7015805755255,56.0720331492115
222,46001944,1999/05/02 00:00:00+00,MIS,75,1999,-79.55477062613753,45.28032449218882
223,46001955,1999/05/03 00:00:00+00,RES,993,1999,-90.29833281940799,51.039665446505026
224,46001963,1999/05/28 00:00:00+00,LTG,1205,1999,-89.2247464478263,52.240386021552816
225,46001831,1998/07/05 00:00:00+00,LTG,200,1998,-88.41248619842762,53.723572282075715
226,46001867,1998/07/07 00:00:00+00,LTG,1200,1998,-90.94756421746422,53.58662448230804
227,46001815,1998/07/07 00:00:00+00,LTG,2450,1998,-81.36144548699579,51.671456431345035
228,46001849,1998/07/17 00:00:00+00,LTG,3200,1998,-87.03069079941092,49.01986737124441
229,46001842,1998/07/09 00:00:00+00,LTG,60,1998,-88.56372051931959,52.31199717158369
230,46001904,1998/05/18 00:00:00+00,LTG,193,1998,-81.65840861067963,48.26600732185063
231,46001832,1998/07/05 00:00:00+00,LTG,70,1998,-88.4369113464253,53.70613406820331
232,46001936,1999/06/15 00:00:00+00,LTG,220,1999,-85.99067486676081,50.84134809708446
233,46001830,1998/07/05 00:00:00+00,LTG,80,1998,-88.56954550983453,53.51161384659896
234,46001880,1998/07/09 00:00:00+00,LTG,40,1998,-89.48133411676052,53.07909765669448
235,46001825,1998/07/13 00:00:00+00,LTG,50,1998,-84.0028203090628,50.19461262373399
236,46001949,1999/08/26 00:00:00+00,REC,5278,1999,-92.26651224882188,51.28468074864351
237,46001892,1998/07/05 00:00:00+00,LTG,100,1998,-89.16282714347837,53.48467993982665
238,46001907,1998/05/18 00:00:00+00,LTG,17597,1998,-86.43715479147544,49.39474109987493
239,46001903,1998/06/14 00:00:00+00,LTG,7400,1998,-89.93273253722057,50.15501654201065
240,46001883,1998/07/11 00:00:00+00,LTG,50,1998,-89.34028265756999,52.58474972913379
241,46001938,1999/06/13 00:00:00+00,LTG,160,1999,-87.21033824879463,53.16168820669857
242,46001909,1998/04/28 00:00:00+00,MIS,543,1998,-86.12244629042306,49.64200714278921
243,46001937,1999/06/24 00:00:00+00,REC,75,1999,-85.91832484418592,51.54292593504401
244,46001851,1998/05/19 00:00:00+00,LTG,2426,1998,-87.82735170789674,48.83091318179002
245,46001839,1998/07/08 00:00:00+00,LTG,500,1998,-87.46283434554789,52.63256665288228
246,46001943,1999/05/08 00:00:00+00,LTG,88,1999,-79.39965079735494,46.86530423949405
247,46001917,1999/08/29 00:00:00+00,LTG,1300,1999,-83.67138757527114,52.26123161967321
248,46001862,1998/07/09 00:00:00+00,LTG,80,1998,-92.83552003744309,53.45153607454745
249,46001940,1999/08/27 00:00:00+00,MIS,1044,1999,-85.62612293592997,49.855909856881496
250,46001913,1999/07/19 00:00:00+00,LTG,50,1999,-80.69255334835202,50.75465736814823
251,46001953,1999/05/02 00:00:00+00,RES,89996,1999,-90.66208574987171,54.12303482225805
252,46001911,1999/06/18 00:00:00+00,LTG,100,1999,-82.36238183914259,53.57250497123835
253,46001901,1998/06/13 00:00:00+00,LTG,2972,1998,-89.31374294526643,50.76454423887001
254,46001854,1998/06/14 00:00:00+00,LTG,367,1998,-85.6699076887752,49.7781337934856
255,46001929,1999/08/20 00:00:00+00,LTG,100,1999,-85.54800109294663,53.27264377119993
256,46001948,1999/05/30 00:00:00+00,LTG,4420,1999,-93.09003845417458,53.5141630125659
257,46001972,1999/05/03 00:00:00+00,RWY,36636,1999,-85.44658981278306,48.77445242406519
258,46001873,1998/07/07 00:00:00+00,LTG,100,1998,-91.71701979218858,53.76738235312565
259,46001926,1999/06/23 00:00:00+00,MIS,152,1999,-76.13413266919869,45.25320983196468
260,46001846,1998/07/16 00:00:00+00,LTG,3000,1998,-87.68680308276747,48.78234782923567
261,46001863,1998/07/17 00:00:00+00,LTG,375,1998,-94.43623979507932,52.288660115536864
262,46001855,1998/06/14 00:00:00+00,LTG,83,1998,-85.75541088795003,50.16025896684123
263,46001869,1998/07/07 00:00:00+00,LTG,1500,1998,-90.0009496689287,53.58129833446065
264,46001836,1998/07/05 00:00:00+00,LTG,6124,1998,-88.74824083978271,53.41893335568443
265,46001934,1999/05/17 00:00:00+00,LTG,340,1999,-87.63646519345853,53.854625939168564
266,46001845,1998/07/09 00:00:00+00,LTG,100,1998,-88.69982631294984,53.77467339026299
267,46001809,1998/06/30 00:00:00+00,LTG,385,1998,-83.0151875296424,52.92436414337774
268,46001928,1999/08/28 00:00:00+00,LTG,100,1999,-88.14670255692954,53.338264965592586
269,46001975,1999/06/19 00:00:00+00,LTG,3600,1999,-83.26211415430572,54.063759598308565
270,46001828,1998/06/30 00:00:00+00,LTG,212,1998,-86.80932525121457,52.54240100944613
271,46001816,1998/07/06 00:00:00+00,LTG,425,1998,-84.29502313300777,53.89060954621663
272,46001976,1999/08/29 00:00:00+00,LTG,75,1999,-89.11428573726103,54.11505139984435
273,46001886,1998/07/04 00:00:00+00,LTG,60,1998,-92.06921498511798,53.683550362497144
274,46001894,1998/07/05 00:00:00+00,LTG,60,1998,-89.62068775195144,52.620526299749905
275,46001969,1999/08/31 00:00:00+00,LTG,700,1999,-88.97144211667141,53.85762414615425
276,46001850,1998/07/23 00:00:00+00,LTG,110,1998,-88.320598572005,48.570222616428566
277,46001834,1998/07/05 00:00:00+00,LTG,200,1998,-88.85783092799238,53.753252352584
278,46001889,1998/07/05 00:00:00+00,LTG,1000,1998,-89.23559274592034,53.974951323511746
279,46001871,1998/07/08 00:00:00+00,LTG,1530,1998,-89.02571037622192,52.16600748307205
280,46001868,1998/07/07 00:00:00+00,LTG,4300,1998,-89.96532959291686,53.551404870064204
281,46001914,1999/06/23 00:00:00+00,LTG,300,1999,-83.42736050096146,53.078974048442035
282,46001801,1998/05/18 00:00:00+00,LTG,507,1998,-83.80158198834945,47.67098147366599
283,46001853,1998/05/18 00:00:00+00,LTG,1000,1998,-88.67053341527348,49.85976931678058
284,46001856,1998/06/15 00:00:00+00,LTG,302,1998,-86.29840486074849,50.04007796052544
285,46001920,1999/08/29 00:00:00+00,LTG,500,1999,-82.72750018332954,53.4386222077838
286,46001852,1998/05/18 00:00:00+00,LTG,700,1998,-88.69538491440265,49.897566672658634
287,46001888,1998/07/04 00:00:00+00,LTG,5875,1998,-91.53145848273601,53.88391293054303
288,46001925,1999/05/03 00:00:00+00,IDF,65,1999,-84.59604330384863,49.41294205348721
289,46001964,1999/05/28 00:00:00+00,LTG,3728,1999,-89.28599564512352,52.37549319117563
